user_number,TP,TN,FP,FN
318,0,354,1,0
319,0,452,1,0
320,0,41,1,0
321,0,356,1,0
322,0,52,1,0
323,0,356,1,0
324,0,354,1,0
325,0,354,1,0
326,0,354,1,0
327,0,356,2,0
328,0,355,2,0
329,0,354,1,0
330,0,151,1,0
331,0,354,1,0
332,8,347,0,0
333,0,354,1,0
334,0,355,1,0
335,0,391,1,0
336,0,354,1,0
337,0,354,1,0
338,0,354,1,0
339,0,355,1,0
340,0,354,1,0
341,26,170,1,2
342,0,354,1,0
343,0,354,1,0
344,0,355,1,0
345,31,153,1,0
346,0,134,1,0
347,0,443,1,0
348,0,354,1,0
349,0,354,1,0
350,0,354,1,0
351,0,355,1,0
352,0,354,1,0
353,0,354,1,0
354,0,361,1,0
355,0,355,1,0
356,0,354,1,0
357,0,354,1,0
358,0,355,1,0
359,0,357,1,0
360,0,354,1,0
361,0,290,1,0
362,0,354,1,0
363,0,355,1,0
364,27,137,0,2
365,0,355,1,0
366,0,354,1,0
367,0,354,1,0
368,0,355,1,0
369,0,360,1,0
370,0,355,1,0
371,0,359,1,0
372,0,355,1,0
373,0,355,1,0
374,0,68,1,0
375,0,354,1,0
376,0,355,1,0
377,0,354,1,0
378,0,354,1,0
379,0,354,1,0
380,0,355,1,0
381,0,354,1,0
382,0,356,1,0
383,0,354,1,0
384,0,354,1,0
385,0,354,1,0
386,0,354,1,0
387,0,186,1,0
388,0,354,1,0
389,0,355,1,0
390,0,354,1,0
391,0,354,1,0
392,0,356,1,0
393,11,344,0,0
394,0,354,2,0
395,0,354,1,0
396,0,354,1,0
397,0,291,1,0
398,0,361,1,0
399,0,357,1,0
400,0,354,1,0
401,1,136,0,1
402,0,355,1,0
403,0,354,1,0
404,0,354,1,0
405,0,354,1,0
406,0,461,1,0
407,0,354,1,0
408,0,354,1,0
409,0,355,1,0
410,0,354,1,0
411,0,354,1,0
412,0,355,1,0
413,0,354,1,0
414,0,355,1,0
415,0,356,1,0
416,0,354,1,0
417,0,32,1,0
418,0,354,1,0
419,0,354,1,0
420,0,360,1,0
421,0,354,1,0
422,0,228,1,0
423,0,354,1,0
424,0,355,1,0
425,0,354,1,0
426,0,354,1,0
427,2,343,0,0
428,0,355,1,0
429,0,355,1,0
430,0,354,1,0
431,0,354,1,0
432,0,355,1,0
433,0,355,1,0
434,0,354,1,0
435,0,354,1,0
436,0,356,1,0
437,0,354,1,0
438,0,354,1,0
439,0,354,1,0
440,0,356,1,0
441,3,150,8,0
442,0,355,2,0
443,0,356,1,0
444,0,354,1,0
445,0,354,1,0
446,0,435,1,0
447,0,491,1,0
448,0,354,1,0
449,9,210,38,12
450,0,354,1,0
451,0,354,1,0
452,0,354,1,0
453,0,354,1,0
454,0,494,1,0
455,0,355,1,0
456,0,353,1,0
457,0,357,1,0
458,0,356,1,0
459,0,205,1,0
460,0,455,1,0
461,0,354,1,0
462,0,354,1,0
463,0,387,1,0
464,0,354,1,0
465,0,354,1,0
466,0,356,1,0
467,0,262,1,0
468,0,354,1,0
469,0,357,1,0
470,0,392,1,0
471,0,367,1,0
472,0,355,1,0
473,0,355,1,0
474,0,251,1,0
475,0,214,1,0
476,0,354,1,0
477,14,341,0,0
478,0,354,1,0
479,0,357,1,0
480,0,355,1,0
481,0,354,1,0
482,0,354,1,0
483,0,354,1,0
484,0,355,1,0
485,0,354,1,0
486,0,356,2,0
487,0,354,1,0
488,0,356,1,0
489,0,354,1,0
490,0,356,1,0
491,12,305,41,0
492,0,354,1,0
493,0,354,1,0
494,0,355,1,0
495,0,354,1,0
496,0,354,1,0
497,0,386,1,0
